GENE_ID,treat_1,treat_2,treat_3,control_1,control_2,control_3
PACS2,14591,6386,4943,15142,15537,8869
ELMOD2,1132,1171,1230,1151,899,991
EGR3,9682,4924,3213,2282,3444,3087
CATSPERE,199,240,366,229,234,252
GPC5,3799,2639,2726,7529,2252,2766
VWA1,5927,2799,1986,10408,8400,3584
DNAJB8,35,4,0,6,31,12
GEMIN4,1841,563,677,852,552,997
FJX1,3179,1125,1181,2418,942,1738
KLHL28,2399,2904,3574,2259,1849,2481
MKRN3,517,602,548,1006,1036,523
ZBTB18,16251,16614,15143,5222,3998,14277
OR9A2,35,77,26,82,110,18
C14orf28,352,374,443,303,283,209
ALOX12B,120,37,46,10,0,60
SLC17A8,188,102,214,23,92,215
SHARPIN,1688,484,487,1496,1276,1028
LBX2,50,6,38,113,121,36
DNHD1,2391,1320,1389,3383,2623,1431
SLITRK4,6043,5850,6419,529,1201,4347
HTR1D,194,64,66,34,78,79
GCC1,2218,924,1033,2279,1360,1247
LSMEM2,55,59,47,228,209,96
CIITA,4618,480,624,3548,2577,512
ZFPM1,1030,336,543,730,824,678
ALOX15B,45,12,0,4,18,7
PLD6,1112,484,576,362,635,654
GRM8,1378,1111,978,565,477,1084
CDC42EP4,9921,2007,3323,13548,4790,5541
ZBTB42,323,53,44,298,236,46
LACC1,719,1592,2298,1279,2038,1183
MAF1,3229,1592,1586,2751,2413,1841
TPPP2,3,13,11,10,0,3
FCER1A,44,4,24,9,0,0
RPRML,904,426,239,59,179,626
WDR97,291,271,340,382,242,402
PCED1B,393,78,112,321,234,57
APOBEC3B,41,0,0,20,0,0
PIPOX,1004,553,600,3052,396,664
FOXS1,183,44,34,151,105,35
ATOH7,367,217,227,37,14,160
CDH5,1626,759,802,1559,1856,688
LRRC3B,2791,549,1122,956,761,924
FAM216B,36,11,80,4,0,16
MYADM,6590,1964,1524,1995,3128,3483
MROH1,9989,3451,4051,3568,3208,6019
SERTAD2,2349,1117,1147,2881,1212,1201
AKAP5,7110,6804,10070,572,892,5578
NKPD1,235,119,112,116,163,218
GIPC3,276,59,45,248,174,94
RNF227,415,261,321,310,187,369
CITED4,561,136,161,325,191,244
ABCA13,28,11,56,427,0,103
TIGD5,1292,676,630,1562,1152,1060
PDXDC1,8580,2281,3392,3507,3015,3061
C1orf194,29,11,31,30,21,21
ZNF154,3349,2210,2898,2955,1733,2219
R3HDM2,9800,5540,4471,5114,5010,5615
NRXN1,39544,40782,46250,18758,12510,31576
SEPHS2,4435,2634,2542,1773,1899,2796
GPBAR1,48,7,2,36,14,36
ZNF784,637,372,388,600,596,379
ZNF648,88,33,113,57,89,52
C14orf119,1826,772,839,1626,768,615
GOLGA8J,35,8,28,30,59,11
BBS10,1952,1653,2135,2072,1088,1650
FIZ1,1683,949,806,1339,1196,1323
PUF60,7450,3108,1812,7395,3234,4120
SSC5D,903,167,445,817,247,416
DCTPP1,1665,1108,1280,482,460,1057
ZNF771,1897,738,685,620,950,1137
TSHZ1,2380,836,2146,3719,2695,2757
PSTK,655,522,823,628,347,442
SOCS4,3798,4086,4768,5429,4161,3440
ZADH2,7559,4678,5484,3822,2898,5317
ZNF48,692,430,1083,242,386,1004
C3orf80,1382,1337,730,60,125,1288
TMEM150B,67,6,14,30,48,20
ANKRD18A,383,664,837,579,1733,632
TMEM86B,233,117,125,93,94,85
OR3A1,13,2,7,27,43,52
SEPTIN1,444,165,405,666,655,367
TRNAU1AP,1093,626,697,1074,743,552
EXOC3,5723,3065,3773,4373,3247,3417
TDRD6,687,496,678,226,333,203
C12orf40,104,88,76,10,18,75
CSNK1A1L,26,15,0,50,6,24
LYNX1,22329,13943,8565,10971,7024,17722
TH,120,69,48,26,161,59
MED14,4898,2187,2718,3946,3072,2155
FAHD1,2727,1178,1072,1147,698,1105
TDRP,802,966,1260,703,611,1119
RCC1,812,136,101,293,261,126
MYLPF,33,3,2,28,11,14
FAM71C,213,100,98,40,50,120
PRKRA,2395,1552,1541,1668,1111,1461
ZNRF2,1754,1551,1916,1147,1426,1318
RRH,81,54,71,32,35,25
SLC9A4,36,33,19,6,0,34
ZNF816,386,283,301,517,214,192
FGD6,4923,2953,3396,2186,2174,2755
GPR139,88,22,7,30,0,0
PLD5,1096,731,1028,1094,524,866
OAZ2,3284,5208,5790,5739,5927,6012
PNPLA1,22,15,9,10,0,6
CCDC43,2174,2516,3168,1755,1382,2452
KCTD4,1119,740,1865,1251,579,631
MEIOC,280,133,179,108,151,89
FZD2,1044,72,56,463,189,133
TIGD2,747,408,491,649,583,548
ITPRID1,85,50,61,79,56,282
HCLS1,3965,758,921,1073,1523,588
MTURN,23258,9701,12196,17954,23225,17014
ZNF609,13598,5742,6110,10795,8608,6708
PAK2,7017,4572,5304,7389,5905,5047
CCDC66,1535,1745,1441,1572,938,1361
MCFD2,10260,7800,8730,5619,3708,6054
HARBI1,453,407,365,710,547,316
C11orf71,1127,831,965,1377,1003,661
CYP8B1,41,9,64,37,39,26
SERTM1,1910,1662,1821,149,353,993
GAS1,642,193,248,1632,494,434
ARHGAP45,3598,764,822,1739,2013,1209
ZNF571,622,614,519,1309,418,487
GLIPR1L2,177,171,155,260,123,151
MIGA1,5822,7744,6716,3805,5070,6626
KCNE1,85,49,13,16,34,30
NRIP1,9689,7351,7976,5458,3572,5141
BHLHA15,58,39,3,22,50,7
RNF182,1099,1205,1030,1480,511,1164
TSPYL5,7194,4036,4707,2753,2449,4843
FUT7,53,90,113,149,346,155
H2AC6,767,784,1289,1091,982,901
EIF2S3B,27,5,3,10,3,2
SKIDA1,711,493,531,508,232,580
H2BC4,5913,2770,2864,5546,2900,2175
MB21D2,1262,917,1159,388,328,1016
GSX2,27,12,6,54,9,3
SSTR2,11237,6398,5702,530,2125,6279
ZNF594,2124,2008,2181,1906,1462,1529
PCGF5,6946,10541,11257,6467,5390,9665
SLC47A2,197,73,53,1027,40,127
PRF1,114,6,37,120,154,31
OR2A4,22,12,17,42,36,30
MAB21L1,871,524,497,347,198,368
YOD1,2362,2567,2309,1627,1826,2062
TMEM64,1483,1368,1594,1508,1502,1507
C3orf22,0,3,13,2,0,9
CHRM4,1159,215,151,62,134,375
SHISA2,58,135,73,673,259,145
S1PR5,464,601,311,437,1885,868
GPR157,289,46,82,295,37,41
CHST13,91,67,37,8,15,43
SLC36A4,2130,2293,2607,1185,958,2177
ZDHHC20,3450,1862,1360,2789,1637,3616
ANKRD30B,456,555,425,1,28,427
OR51E1,54,5,17,10,15,0
ZFP3,1944,1204,1586,2477,1184,1395
ARSJ,532,331,170,834,146,303
MAP3K15,48,24,16,29,14,17
PPA1,7243,5191,5889,4130,3654,4821
PSMG4,1799,822,1010,1483,1298,1214
BHLHE22,742,367,1093,61,555,471
MAP6D1,1852,1410,930,3240,2341,1660
ZNF443,605,408,521,616,253,271
CXCR2,282,10,8,83,22,20
GREM2,2413,1219,1407,137,228,1408
C11orf42,242,98,159,75,123,202
SSR4,3773,1220,1139,3226,1209,1041
CAPS2,991,1066,1419,1176,949,1230
ZNF792,706,258,335,636,331,267
CUEDC1,3244,2585,2270,5185,5540,2754
SCRIB,6753,2730,2530,7654,6578,4808
KCTD2,10239,4798,5449,5592,4154,6267
D2HGDH,1829,920,801,1587,1696,1388
