GENE_ID,treat_1,treat_2,treat_3,control_1,control_2,control_3
TSPAN6,680,728,619,2941,554,605
TNMD,8,6,9,40,0,0
DPM1,1102,716,755,687,658,865
SCYL3,1672,1334,1342,1192,973,1196
C1orf112,721,313,417,734,490,331
FGR,919,110,132,370,287,205
CFH,8064,646,1400,733,833,364
FUCA2,2704,823,938,2500,1499,941
GCLC,3399,4046,4560,4354,5095,3343
NFYA,3400,2598,3118,3624,2604,2154
STPG1,1139,446,500,945,255,818
NIPAL3,14795,10664,6622,13454,11951,11748
LAS1L,3140,2117,1900,3626,2622,2573
ENPP4,3901,6494,6090,3451,5207,4422
SEMA3F,466,111,112,218,164,69
CFTR,160,289,268,206,350,217
ANKIB1,10681,8770,9180,13472,11391,7242
CYP51A1,8503,7736,7736,8668,5200,5778
KRIT1,3583,2670,3137,2493,2182,2513
RAD52,741,437,747,893,765,707
BAD,3195,1718,842,1414,1148,2211
LAP3,8754,1991,1774,4231,2083,1680
CD99,1724,928,584,4685,2761,1823
HS3ST1,2242,814,1127,400,698,708
AOC1,7,0,11,48,13,0
WNT16,258,147,384,17,92,223
HECW1,11628,6469,5190,638,2378,6749
MAD1L1,1442,698,732,1304,1127,1090
LASP1,6958,3304,1543,2793,1951,4812
SNX11,1600,1123,980,1201,1365,1102
TMEM176A,1724,305,272,1034,314,405
M6PR,2424,3081,2823,2614,1627,1693
KLHL13,900,591,746,749,433,649
CYP26B1,1126,905,342,766,288,3568
ICA1,3149,2318,2140,451,925,2206
DBNDD1,3125,1573,751,2028,690,1966
ALS2,7449,5143,5600,4077,2995,4874
CASP10,491,324,269,365,752,337
CFLAR,8153,4366,6194,10089,3859,2389
TFPI,1018,206,378,406,361,150
NDUFAF7,1343,740,842,636,511,707
RBM5,9402,6109,7475,9852,7272,6603
MTMR7,4565,5213,6313,2159,3723,4537
SLC7A2,3941,1239,489,2000,345,317
ARF5,6164,3380,3435,2320,1997,3900
SARM1,5958,2170,2711,3507,3431,3792
POLDIP2,8318,3115,2859,4642,3201,4286
PLXND1,17736,5134,4969,7150,7074,5997
AK2,4704,2241,2778,5306,2855,2268
CD38,1964,1259,953,4168,1482,1409
FKBP4,9179,5953,6688,7034,5548,7569
KDM1A,7417,3825,4359,4760,3103,3677
RBM6,4622,3315,3722,3485,3962,2672
CAMKK1,14899,7068,7434,1123,1823,9588
RECQL,1504,974,1139,1486,945,832
VPS50,3812,3876,4795,1933,1450,2925
HSPB6,484,105,181,863,302,334
ARHGAP33,4746,2598,1930,1412,3667,3473
NDUFAB1,2894,1148,1069,1178,1085,1586
PDK4,1372,2090,1943,3731,1889,1697
SLC22A16,2,5,29,25,11,0
ZMYND10,182,60,86,307,76,158
ABCB5,6,2,25,6,0,0
ARX,2100,629,739,1106,481,879
SLC25A13,1207,1141,774,1517,2061,871
ST7,1977,943,1133,1250,653,872
CDC27,6256,6813,7891,3197,3562,5911
SLC4A1,38,3,0,62,167,8
CALCR,28,25,15,14,8,32
HCCS,1552,1152,1217,651,484,1013
DVL2,2375,1050,1224,2538,1997,1413
UPF1,11393,4433,4312,9616,6618,6100
SKAP2,3054,2552,3124,767,1059,2574
SLC25A5,13112,5591,4843,13168,6350,6664
MCUB,826,369,376,693,463,427
POLR2J,939,286,244,959,564,596
DHX33,3183,1590,1818,2111,1307,1818
MEOX1,18,36,18,14,5,34
THSD7A,7926,3553,6673,2944,1646,3524
LIG3,3509,1521,2016,3412,2600,2339
RPAP3,2623,2301,2439,1238,1060,1908
ACSM3,60,50,39,31,28,29
REXO5,461,218,309,200,170,281
CIAPIN1,1687,976,873,1053,837,1387
SPPL2B,3453,1980,1760,3193,2781,3124
FAM214B,2612,1086,1385,2426,1811,1224
COPZ2,397,106,119,618,155,129
PRKAR2B,5778,5628,6043,865,1228,4081
MSL3,2315,1494,1796,1313,1161,1499
CREBBP,15864,4809,5198,11542,7217,7030
TSPOAP1,19196,12191,11508,4338,13561,19389
MPO,259,71,126,75,50,113
PON1,93,89,84,144,72,81
GCFC2,1004,1440,1976,931,1428,1506
WDR54,797,523,608,509,394,564
CROT,1428,898,1159,1095,789,1023
ABCB4,267,138,90,137,107,78
KMT2E,10737,8758,9731,10062,8589,8094
RHBDD2,11126,3108,2969,2960,2446,4836
SOX8,6870,5109,3081,16231,16438,6567
IBTK,5223,6122,7881,4501,5363,6287
ZNF195,1974,1201,1409,1245,770,1047
MYCBP2,62872,50117,48600,15425,17159,41926
FBXL3,5015,6377,7571,5049,3766,5068
ITGAL,1801,237,400,679,642,223
PDK2,6336,1140,2618,2433,1125,1823
ITGA3,4335,1295,1360,5124,1123,2015
ZFX,6465,5703,4126,4477,2766,3308
LAMP2,11666,16803,12672,25288,26083,14422
ITGA2B,78,96,96,138,260,175
ASB4,43,28,108,169,89,30
GDE1,5375,3191,4433,3272,3547,3811
REX1BD,2785,978,868,1381,1129,1551
CRLF1,863,218,301,1634,127,824
OSBPL7,1554,585,640,1344,1070,1285
TMEM98,1256,1775,1274,4602,3601,1409
YBX2,191,107,94,62,67,93
MAP3K14,2085,409,424,1623,575,290
ABCC8,4041,1624,1798,467,770,2793
CACNG3,5903,2287,1793,139,514,2121
TMEM132A,14223,4808,11952,12043,6723,7449
AP2B1,57514,33091,30520,23599,15308,26409
TAC1,2029,785,653,326,403,557
ZNF263,1363,765,830,1067,781,886
CX3CL1,5355,2149,7005,1341,2347,1969
SPATA20,4756,1557,1685,3137,1907,2720
CACNA1G,9941,3822,3255,340,995,3755
TNFRSF12A,1005,139,57,655,349,42
DLX6,187,35,40,9,28,45
MAP3K9,11278,8126,6005,734,2756,8710
RALA,3664,4821,5240,3462,3491,4601
BAIAP2L1,271,118,192,293,207,178
KDM7A,5297,4504,6341,2453,3396,4247
ETV1,2646,3335,2459,3022,2023,2681
AGK,2937,1744,1767,1314,880,1174
ALDH3B1,816,127,160,359,464,304
TTC22,87,42,52,13,22,73
PHTF2,2233,1751,1810,1364,1314,1142
FARP2,3728,2656,2972,3167,3314,2805
USH1C,545,444,332,314,372,169
GGCT,1360,826,672,514,433,947
DBF4,176,216,368,191,148,182
TBXA2R,168,20,24,104,110,60
IFRD1,2631,1976,1967,2333,1908,1617
COX10,1039,868,583,912,706,726
GTF2IRD1,2042,642,672,1501,990,884
PAF1,3820,1329,1557,2899,1610,1287
VPS41,12445,12345,11695,6563,5168,10328
ARHGAP44,9592,5692,4254,1185,2000,5777
ELAC2,4008,1783,1988,3649,2238,2094
SCIN,5026,401,678,737,827,319
ARSD,1959,780,962,3271,956,830
PNPLA4,1046,883,750,1034,490,670
ADIPOR2,5945,5322,4692,8117,8981,4584
CDKL3,343,327,586,355,275,415
UPP2,495,299,384,131,120,216
MARK4,7671,3564,2998,3211,3279,3897
PROM1,945,397,721,1451,606,367
CCDC124,3204,1081,1214,1786,1232,1318
CEACAM21,254,41,63,111,105,79
PAFAH1B1,38298,31271,36286,14605,15791,32439
NOS2,549,231,145,206,79,192
DNAH9,1553,494,606,1399,419,641
KIAA0100,22522,9374,9450,12241,8958,11090
GAS7,77869,54926,45199,20800,33900,57455
TRAPPC6A,460,413,465,517,469,473
MATK,2743,1750,1086,411,929,1862
CD79B,52,0,26,39,48,17
SCN4A,58,14,24,34,8,5
ST7L,1013,610,605,1042,743,670
TKTL1,121,9,0,24,0,0
PAX6,1704,1062,986,3372,959,1091
RPUSD1,1257,645,472,564,594,755
RHBDF1,1191,354,376,976,818,408
LUC7L,3384,2773,3437,2828,3505,3046
CACNA2D2,3016,1284,1092,586,937,1423
BAIAP3,6401,3133,3146,7223,2164,6505
TSR3,3218,883,707,2149,1445,1505
PIGQ,4014,1173,1568,1954,1350,2334
CRAMP1,3817,1398,1154,2712,2532,2232
TEAD3,597,147,222,476,156,96
SELE,1305,87,116,23,737,15
DNAJC11,4319,1711,1703,2187,1215,2247
FMO3,117,56,46,218,63,59
MYLIP,1916,1424,1386,2130,2258,1583
NOX1,23,9,17,28,0,30
E2F2,131,8,10,41,17,8
PSMB1,5121,2129,2457,3187,2350,1913
SYN1,49829,16463,22460,1731,7351,26116
JARID2,4816,1922,2351,4440,2831,2420
CDKL5,26337,17092,5925,3711,5959,5260
CAMK1G,3504,1285,1266,350,307,1618
CDK11A,831,408,350,1147,722,504
NADK,3291,1832,1915,2256,2213,2410
DLEC1,351,96,213,1195,242,233
CYTH3,7659,4364,3639,3218,3040,4423
ADAM22,10449,7707,7816,4648,3224,8552
SYPL1,1648,1869,1954,3241,2440,1517
CYB561,3672,2503,2566,1023,932,4052
SPAG9,20072,19340,18891,24197,17707,15508
CELSR3,10941,4754,5000,1954,2832,8606
AASS,2409,2229,1948,5006,3915,1884
PLEKHG6,88,19,29,93,96,40
SS18L2,791,705,717,463,422,475
MPND,1211,525,433,560,670,985
MGST1,1499,790,492,1444,324,1117
CRY1,1984,1428,1684,2684,1645,1748
PGLYRP1,147,172,107,44,58,150
NFIX,26159,15317,12276,28839,20932,16636
ST3GAL1,5827,2941,2869,4012,2899,2948
MMP25,410,124,91,411,274,131
IL32,591,124,145,485,301,63
PKD1,19691,14139,10802,11715,11812,19798
MAPK8IP2,28238,11952,10338,2896,13893,20786
MED24,5659,2320,2233,2931,2620,3122
RHOBTB2,17602,7838,5869,5383,3767,9152
HEATR5B,9420,6872,7026,4624,4596,6378
SEC62,14620,19070,21789,14675,11631,14880
RPS20,11275,5366,6354,8598,9852,5788
CSDE1,34255,25658,28896,27967,17540,21623
UBE3C,6784,4044,4496,2996,3296,4667
REV3L,8395,6023,8177,8403,3984,5784
TENM1,8157,7401,8287,1675,2600,4009
PAX7,441,189,147,0,108,157
MASP2,603,293,338,527,262,233
FAM76A,1018,1114,1076,1244,685,813
TRAF3IP3,773,138,315,422,329,180
POMT2,2407,1259,1154,3675,2530,1947
VTA1,4029,3567,3556,2234,1852,2235
MLXIPL,1338,696,573,336,568,1133
BAZ1B,11796,6569,7248,10411,7271,7580
RANBP9,9669,8536,9291,4467,4326,6460
ETV7,193,21,16,135,8,0
SPRTN,942,873,784,1269,654,715
EEF1AKNMT,2204,1708,1423,1961,1306,1312
DYRK4,791,256,487,666,235,256
ZNF207,7845,6768,8905,7758,3689,3881
UQCRC1,11383,6010,5609,5687,4942,7112
STARD3NL,2976,2481,2484,2323,1621,1836
CD9,3849,4342,3028,12826,9186,4409
HHATL,1175,759,651,652,681,1419
NCAPD2,2436,1449,1479,3649,2670,1612
IFFO1,4439,2268,2167,3332,2138,2758
GIPR,58,124,82,117,351,76
PHF7,510,273,349,390,319,236
SEMA3G,1934,959,1022,1236,2336,1014
NISCH,27526,9792,16858,8118,7092,16913
STAB1,28017,1929,2427,5724,9817,2716
FUZ,1018,835,521,1388,1233,743
SLC6A13,1486,291,766,662,572,393
IDS,131647,100198,117653,19359,49200,121275
PRSS3,938,380,469,122,183,387
ZNF200,749,438,691,713,408,392
CD4,7385,615,864,2220,1643,968
LRRC23,653,272,332,632,408,263
BTK,1083,136,286,427,438,99
HFE,262,33,57,393,79,67
SCMH1,3086,1265,1195,1254,976,1452
FYN,12445,6361,6134,13674,9646,4464
HIVEP2,38932,25356,17353,12892,6566,17078
FMO1,23,14,4,0,0,0
ELOA,1635,1469,1780,2532,1333,1775
LYPLA2,1856,686,541,966,773,928
CLCN6,6359,4024,3829,4380,3169,5210
MRC2,6473,1236,1445,4666,2904,1728
NME1-NME2,3153,216,196,1457,345,1234
SLC6A7,4044,2343,1523,40,351,3338
TSPAN9,3172,1312,1406,1835,1384,1201
BTBD7,2721,2239,2591,3008,2786,2398
APBA3,912,422,478,1094,650,780
MKS1,911,455,523,854,634,635
ABHD5,1994,573,742,1393,767,1187
ANOS1,7445,2965,5308,8390,2247,3045
AKAP8L,4549,1556,1772,3465,2402,2097
MBTD1,1783,1571,1762,1944,1632,1312
UTP18,2026,1382,1868,1361,1278,1228
RNF216,7479,2904,2796,4800,3842,3820
TTC19,4078,2772,3246,2383,2623,2971
PTBP1,4653,710,727,2337,1493,1048
DPF1,4763,2157,2040,621,1249,2715
SYT7,33623,13312,16007,1048,4535,18238
LARS2,3173,1921,2433,2642,2255,1591
PIK3C2A,10132,9456,11222,10299,7502,7944
PLAUR,1585,206,112,423,230,90
ANLN,3268,7584,5278,9768,10878,4516
WIZ,7530,2373,1945,3500,3943,3882
RABGAP1,13727,7544,8386,9268,6571,7463
DCN,8223,1147,3381,3030,1783,923
QPCTL,705,319,235,264,275,509
PPP5C,4838,2183,1975,2003,1590,2015
CEP68,6530,5068,6919,5101,3502,6040
MAP4K3,4997,3918,4282,3126,2586,3318
ZBTB32,202,124,249,149,169,174
TYROBP,2636,446,633,1109,1189,588
TMEM159,603,185,391,238,212,419
GABRA3,5178,2865,3088,797,1121,2820
BRCA1,533,473,727,980,569,335
ERCC1,5291,1615,1807,4032,2552,2355
CD22,721,643,936,2461,3986,994
SEMA3B,3375,2782,2468,10786,11002,3147
MBTPS2,3035,2332,2415,1751,1223,1949
PRICKLE3,246,42,35,248,228,70
LTF,42,28,23,15347,55,48
EXTL3,15419,7318,5352,7380,5140,9321
ELOVL5,6569,4534,4290,9839,6974,4600
ALOX5,3358,290,356,622,738,353
KDM5D,2,0,4304,4202,4619,3341
CALCOCO1,8320,4268,5139,7301,5098,5740
UBR7,4916,3204,3253,3116,1771,662
MAP4K5,4525,4942,5653,6277,6066,4216
EHD3,19867,8710,9044,3783,5560,12813
PSMC4,6762,2655,2902,3090,2450,3123
MAN2B2,8728,2724,2776,5585,2739,3842
SLC7A14,21237,13523,18109,4714,6736,18592
CLDN11,3091,3183,1922,15083,21667,3897
SLC25A39,2774,744,774,1662,1659,1563
MVP,5951,737,756,4617,1985,1244
NUB1,2764,1812,2435,2284,1625,2362
PGM3,2215,2689,2816,2157,1207,1240
RWDD2A,1697,1297,1417,1103,675,1169
CLK1,3645,2739,2898,5595,3565,2199
POLR3B,2298,1227,1578,1333,758,1165
ANGEL1,4635,2733,3114,4731,3965,4055
RNF14,4293,3981,4568,2660,2447,3800
DNASE1L1,994,555,424,465,269,699
DDX11,352,117,236,990,380,395
HEBP1,1545,1063,978,2029,1165,1233
GPRC5A,953,35,71,174,39,46
MAMLD1,2659,729,1127,1218,865,1192
CD6,168,125,150,107,128,84
TACC3,716,118,177,268,263,130
UFL1,3741,4327,4884,4293,3496,3436
POLA2,1058,392,642,683,799,602
ZC3H3,2445,673,750,1406,1318,1332
CAPN1,8342,3157,3133,5849,2847,4381
ACP3,575,54,40,119,59,11
MDH1,19941,12740,13018,4776,4656,10489
SLC30A9,8009,10787,12835,4674,4220,8253
MTMR11,840,266,514,1207,443,390
COX15,3724,2485,2669,3148,2169,2373
CCDC88C,1538,338,480,1837,491,331
YAF2,2297,2513,2499,1074,980,2038
ZMYND11,10869,8408,9897,9966,6342,7749
WAS,1308,139,120,407,314,180
DPEP1,2,10,0,10,0,22
BID,2826,1789,1218,1351,978,1351
MATR3,14280,11888,13256,9839,8301,10425
XYLT2,3075,870,1063,2086,1562,1290
RGPD5,7123,7730,8641,3359,3420,6516
STMN4,9400,4838,3822,3366,5720,5956
NUDCD3,18434,10196,12576,8350,5837,15107
CHDH,3545,1629,1662,6347,2498,1919
IL20RA,127,180,94,157,58,55
CLCA4,200,482,505,1608,641,387
GLT8D1,2142,1203,1469,1723,989,1309
ATP2C1,13715,11083,12389,8242,6454,9106
IGF1,1726,263,1075,261,138,989
SLC38A5,2392,643,783,3225,2060,872
RALBP1,7858,4804,5368,7616,3718,5296
RUFY3,24007,23344,28622,13110,12494,20959
CNTN1,44147,46927,47964,12639,14407,32148
SLC11A1,3955,125,91,331,424,76
WWTR1,4201,1134,1990,12020,2890,1014
AGPS,6036,6350,7562,4487,4959,4963
STEEP1,1115,813,767,1009,531,648
ATP1A2,154396,60920,72835,159739,46840,78133
TTC27,1163,875,1082,1051,878,721
ZNF582,475,311,384,538,327,414
VSIG2,288,146,106,72,153,115
PHLDB1,14164,14332,14254,34439,36846,15825
MARCO,608,0,2,113,0,26
CYP24A1,153,37,22,27,4,27
PRDM11,4209,2044,2071,2335,1950,2941
SYT13,22346,12892,13783,1139,4403,14553
SNAI2,270,87,38,123,120,93
CD74,27211,1729,2802,23321,8363,2861
HGF,2174,447,1038,1684,241,765
ZRANB1,5106,3225,3602,2775,2052,3009
NCDN,62673,18600,21547,6445,9851,36194
ADGRA2,5552,1586,1455,2753,3048,1968
ZFP64,2024,811,863,1243,535,1011
MNAT1,1496,1261,1481,981,913,1354
SAMD4A,6114,1663,3236,10586,5464,1935
RUNX3,239,20,30,94,157,43
MRE11,1892,1478,2037,1659,1456,1143
PLEKHB1,12326,6862,7845,48245,35150,9243
SERPINB1,3472,579,499,1375,987,510
CYP3A43,38,21,19,20,8,12
SLC7A9,53,0,13,41,34,29
SPAST,2245,2733,1686,1990,1743,2199
NRXN3,30729,15835,18740,4752,6248,17866
OSBPL5,3153,1063,1015,1659,2158,1337
AQR,6357,4441,5436,5026,3052,4007
CPS1,607,484,638,1774,652,508
FHL1,8905,4019,5751,6201,2954,5889
RTF2,4402,2302,2183,4457,2268,2267
GABRA1,14797,12069,16632,553,1016,12885
NLRP2,618,238,283,77,41,630
SLC45A4,5127,2822,1667,1195,1368,3788
RNF10,8687,4394,4836,4912,4683,5596
ZNF839,915,586,723,781,592,588
ZDHHC6,2051,1359,1450,1721,1235,1160
GRAMD1B,23344,7538,12202,9567,3379,13105
RNH1,3890,2047,2266,3889,4274,3107
NDUFS1,26849,19655,20682,16981,11769,18980
RB1CC1,16504,18105,17291,6655,8878,13179
ERP44,3779,2998,4084,3196,2392,3196
ALAS1,6665,2186,2360,2419,2317,2188
BIRC3,409,409,528,277,364,408
AKAP11,46586,48593,53542,20626,17833,41955
GLRX2,2012,3255,3632,1417,1697,2914
SNAPC1,461,270,376,332,275,239
DERA,689,271,485,904,578,323
STRAP,10506,7029,6419,4887,4428,7566
ABCC2,56,31,42,111,45,7
DEF6,1516,224,237,585,528,243
PLEKHO1,4907,1584,1504,2228,1844,1891
GCLM,1550,1435,1958,707,865,1784
UBR2,8126,6848,7846,6909,5536,5941
EHD2,4155,1072,897,3724,1602,1250
DEPDC1,150,168,154,21,9,74
CCDC28A,1280,803,828,830,276,711
RRAGD,7882,4816,6327,2843,3703,4330
HSF2,948,586,801,746,337,750
PHF20,6803,4518,5035,4006,3286,4683
HSD17B6,352,422,240,1352,365,335
NR1H3,641,178,270,524,403,373
TYMP,9312,337,494,777,972,482
NCAPH2,3533,1896,2006,2237,2257,2876
TOMM34,3291,1143,1340,879,892,1426
SEC63,9215,7892,9266,7216,5051,7060
KPNA6,16362,9858,10986,6498,7759,10608
VIM,44966,3215,7398,52431,8956,9582
RTEL1-TNFRSF6B,1801,690,474,1216,1589,1417
FAS,614,488,343,1347,142,131
RNASET2,3942,1146,1431,1717,1644,1250
CD44,3128,365,1807,10703,1388,669
KCNG1,2016,1159,883,692,441,748
AGPAT4,8700,5962,5970,7060,9951,6783
SLAMF7,179,3,18,34,5,0
BTN3A1,750,432,565,1287,684,296
MIPEP,1056,726,768,715,830,618
PRKCH,1654,709,631,1183,1357,815
INSRR,372,33,71,93,24,9
IFNGR1,3315,2823,3247,3644,2976,2321
B4GALT7,1062,433,362,783,770,870
SH2D2A,159,21,13,73,20,34
VRK2,760,1033,1388,1622,2035,1112
TNFRSF1B,4805,642,675,1567,1527,883
VEZT,5625,4327,5159,2662,2334,4026
POU2F2,2238,212,349,294,371,195
BRD9,3622,2156,2433,2707,2827,2706
SNX1,10879,7997,8332,10962,9931,7333
TBPL1,1843,1997,2065,958,709,1587
ARNTL2,1201,2679,1423,171,821,1150
BCLAF1,10298,10803,12712,7441,5708,8821
SLC39A9,5977,2804,6149,6507,3687,3144
ANK1,3932,1149,1447,629,1312,1713
IBSP,473,2,0,24,0,8
TFB1M,429,375,440,423,446,518
RABEP1,16296,12113,13207,10846,7625,8660
HMGB3,1812,1364,1795,1551,2052,1626
NUP160,2758,1247,1669,3188,1770,1377
BAK1,1239,429,411,815,558,551
MUSK,68,69,71,322,103,50
IKZF2,1691,1582,2016,2383,1659,1534
GRN,9011,1020,1337,4262,2938,2104
FAM13B,9576,6761,8011,3162,4395,7121
ARHGAP31,8916,2787,2786,12537,4757,3168
CENPQ,213,412,246,425,213,265
SARS1,12185,7628,7701,5820,4620,6842
RANBP3,3882,1701,1636,2899,2185,1947
ARID4A,4803,3617,4638,3325,2559,3172
EIPR1,2682,1351,1782,1096,912,1814
PNPLA6,13316,5466,5279,7832,7232,8250
IFT88,1175,1195,1259,1647,1121,1211
ALG1,1290,639,658,1066,668,587
ZCCHC8,1360,800,885,1184,713,720
ABCF2,4647,1863,1713,2898,1602,2295
CHPF2,3710,1845,2193,2293,2142,2684
LRRC7,27399,24137,24893,4165,9625,16771
FUT8,7164,6658,6497,10249,6728,4839
UBA6,6372,6234,6892,4461,4364,4812
GAB2,10286,7359,7683,21566,18029,9659
ATP6V0A1,24000,21895,24019,12683,11912,28253
PIAS1,7321,5495,6885,4285,2781,4453
SLC4A7,9597,7496,11467,2701,4710,7781
APBA2,20893,9057,8566,8294,6337,12337
MAP2K3,1819,354,286,793,592,408
EFCAB1,218,190,269,300,75,307
TMSB10,19477,4734,4998,2805,3656,3695
ASTE1,362,385,713,404,322,402
RNF19A,7965,6646,7850,20064,3900,4844
PEX3,1469,1002,908,1050,688,681
GABARAPL2,7923,6576,8450,8672,5828,8477
SH3YL1,2158,2255,2305,1499,1697,1628
FAM136A,1578,996,1045,972,740,871
VCL,5318,2427,2891,7399,3509,2321
DEPDC1B,127,84,76,34,22,161
DAPK2,459,602,710,1312,2039,847
NSMAF,2705,1273,1722,1828,1442,1341
ADSS2,4995,6672,6501,3259,3759,5604
STAP1,16,8,10,3,23,8
TIMP2,13283,8983,14949,14252,12737,8592
RFC1,4133,2851,3453,5082,3095,2848
TBC1D23,2300,3569,4008,2164,1997,2706
CUL3,6245,6048,6735,4168,3180,5753
MYOM2,2110,1061,1159,249,549,1338
OTC,4,2,3,17,10,6
CYP46A1,9469,5296,5319,1960,1999,5150
ZZZ3,3401,3060,3932,2983,2609,2797
SLC18A1,4,4,8,3,0,73
USP2,3592,1470,1198,2031,1232,1719
CASR,68,108,5,22,17,76
TUBG2,6825,3313,2813,2806,3236,4312
RPL26L1,677,240,154,317,124,68
FLT4,654,193,233,544,692,253
NSUN2,2985,1567,2206,2242,1659,1892
FBXO42,6054,2157,2443,3030,2221,2978
MFAP3,1602,1081,1450,868,691,1139
MRI1,1571,534,533,1258,1034,680
METTL1,327,235,107,244,132,145
AGA,752,526,724,1106,817,756
PI4K2B,668,703,706,825,525,607
BOD1L1,12977,8156,9203,10343,6966,7684
MAT2B,3247,3114,3471,2655,1694,2958
TLL1,565,846,739,127,517,677
EDC4,6860,2997,2616,3568,3230,3423
TRIO,35170,15602,17288,12409,13535,16606
VCAN,13178,9632,8938,23257,10960,6693
CLEC16A,8259,3033,3411,5831,3447,3831
MSR1,4510,315,423,515,363,217
CDH1,280,258,181,669,810,177
MTREX,5621,6149,7171,4499,3952,5073
DNAH5,782,502,740,588,112,683
ZFYVE16,5938,9296,10293,10031,12408,6831
RIPOR1,9291,3858,3271,3065,4352,5935
C6,80,5,6,8,0,0
RAI14,1913,1008,992,2874,1598,878
SOX30,23,8,33,27,0,0
PNKP,1503,763,627,1339,1080,1157
BEST2,25,0,8,19,31,5
PHLPP2,6976,4958,6602,2125,2245,5672
SPDL1,709,646,1004,810,803,604
STAU2,6806,8528,8379,2265,3250,6680
SLC66A1,1257,575,416,974,710,617
CTNS,1685,356,391,1547,1112,596
RTN4R,2821,1203,836,212,187,2160
PHF23,2447,1151,790,1379,1110,1046
CDH10,5709,5271,5798,2463,1624,4284
INPP4A,15251,8191,6953,3694,3193,9099
RAB27B,4836,8552,11502,193,607,7690
PSMA4,3215,2374,2085,2157,1879,1696
MYO16,6304,4284,4125,822,1545,2756
LSG1,3158,1809,1835,2467,1403,1516
PARP3,960,334,516,918,445,548
TNC,21658,3424,3474,38458,5573,2009
THAP3,852,342,325,1063,1014,653
RIPOR3,573,232,285,880,570,366
TDP1,1272,396,620,633,472,278
AIFM2,966,497,577,792,630,515
SPATA7,1083,876,1208,850,740,804
MED17,1837,1319,1478,1992,970,1291
RETSAT,4225,2025,1789,5090,2225,2847
CAPG,1765,262,465,1075,557,599
AP2S1,4611,1394,1417,1339,1141,2014
USH2A,276,171,220,136,143,284
ZPBP,26,25,17,9,2,4
TG,229,83,121,53,54,190
ADAM28,3143,1607,2725,1937,2672,901
BARX2,86,63,66,40,7,46
DCUN1D1,3701,5458,6143,3315,3297,3788
JADE2,7531,4465,4069,4785,4444,6589
ZIC2,1692,413,486,1732,809,445
LCP2,3250,497,569,879,703,306
TRIT1,1029,610,741,478,608,607
ADRB1,2414,819,773,1433,831,978
CUL7,4437,2103,2259,2426,1671,2632
CTNNA1,9958,5018,4679,17826,10164,5386
PHKA2,2504,1164,1297,3412,1774,1448
CNTLN,780,528,642,1098,675,561
EPHA3,3005,2022,2835,1134,898,1845
HSPA5,31102,11606,11568,17487,8380,10596
DSG2,242,62,163,28,0,39
GEMIN8,984,554,727,999,392,595
OFD1,1544,1169,1356,1918,1528,1057
GPM6B,48287,57503,62597,58869,52919,49085
PREX2,15958,15833,15727,16463,12208,13643
WDR37,5875,3512,2369,3208,3310,4165
YTHDC2,6439,5733,5905,2842,3043,4178
CTPS2,1049,706,697,1831,957,597
ATP6V1H,4425,3103,3517,1058,1936,4373
POLR2B,9795,8160,8672,5431,4835,6330
FAM214A,2970,2880,2915,2608,2675,2383
ARAP2,11643,14329,15514,23072,15059,11502
TPR,14912,9269,11554,14561,7895,7772
CP,2182,191,427,8591,290,137
KATNIP,4095,1778,1700,4210,2215,2194
DTNBP1,1177,599,922,806,685,1084
XK,1947,1577,1919,556,645,1757
ANO2,489,184,134,317,317,181
C12orf4,3036,2981,3014,1105,931,1822
SCML1,1013,703,811,741,571,300
WWC3,3345,1955,1785,5698,4145,2250
ARHGAP6,979,675,758,1131,725,761
FAM184B,830,332,334,625,489,253
MAP4,31562,19872,21190,48726,35364,20623
GOPC,2596,5695,6516,3801,2860,4496
ROS1,183,298,138,17,0,63
USP28,1617,967,1104,1274,872,914
HDAC9,5505,3920,3644,2394,2265,2578
TSPAN17,2568,2715,1155,1231,1926,2175
NOP16,919,381,256,582,485,362
CC2D2A,2069,1438,1513,3055,1267,1347
RRM2B,3618,3000,3589,3975,2305,2866
ZNF800,2900,1593,1899,2450,1974,1385
TNFRSF17,23,22,33,55,45,17
SNX29,5280,2765,2981,5069,4252,3283
LMO3,12167,19785,18989,3084,3999,15803
MRPS10,2556,2046,2193,1379,1121,1697
GUCA1A,164,99,113,52,148,111
RSF1,8324,6788,8111,6133,4693,6817
VPS13D,31030,18979,19552,24139,13807,19203
CELF2,30631,19908,22101,8101,6637,18958
FAM120A,14946,6663,6664,10352,6693,6714
R3HDM1,17181,7488,7845,2265,3792,6572
COL9A2,2848,2571,2389,20185,6668,2961
KITLG,2261,2587,3376,2102,755,2131
ERCC8,952,762,1055,781,495,694
ADAMTS6,606,273,353,814,464,315
H6PD,7068,2785,1806,6881,5205,3658
VAMP3,4837,3272,3427,7295,5346,3022
PER3,3574,1959,1867,8166,3075,2146
UTS2,29,3,0,41,13,0
TNFRSF9,56,0,0,33,6,0
EPN3,380,71,104,120,87,178
LTBP1,4284,1714,2106,8114,3299,1625
RCN1,5739,2334,3234,3944,2011,1101
ELN,2246,636,728,2337,1467,437
RFC2,875,642,585,529,346,415
ARID1B,15223,9111,10384,9004,9916,9427
CLPTM1L,4068,1904,2062,2334,1873,2676
NEDD4L,16071,9631,11452,4016,4713,9467
FOXP3,66,40,26,66,50,10
PPP1R3F,5080,2935,3167,2089,2894,4529
