"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","significant"
2554.21731105218,1.80844996011264,0.419717454590543,4.30873183932005,1.64193302180688e-05,0.00125986222531715,"CD99",TRUE
5453.36278959211,-2.45171628437893,0.520859337808635,-4.70706024911412,2.51314649273484e-06,0.000312104281332377,"CAMKK1",TRUE
3268.09429534416,-2.17173369425239,0.551536517632265,-3.93760635030224,8.22984601266438e-05,0.00395282686801645,"PRKAR2B",TRUE
11747.9160675091,1.74897584307044,0.440360782035112,3.97168847549869,7.13650057684483e-05,0.00358619466848558,"SOX8",TRUE
34775.6738825826,-1.49864102706702,0.463196084360973,-3.23543544012155,0.00121457348625114,0.0260713446980847,"MYCBP2",TRUE
1514.79270203986,-1.71259807605568,0.554725762768711,-3.08728779335553,0.00201991933889839,0.0376020744597712,"ABCC8",TRUE
1864.4165545181,-3.09599307222743,0.733710903002902,-4.2196361803488,2.44696880010741e-05,0.0016619315049792,"CACNG3",TRUE
3196.81676386333,-2.82665865765581,0.674539576748849,-4.19050083210797,2.78339393907288e-05,0.00179906581482008,"CACNA1G",TRUE
4232.34498888046,-1.86126446858074,0.532010545437916,-3.49854807304368,0.000467798750090245,0.0133119752337465,"ARHGAP44",TRUE
15949.3390440766,-2.2735924723745,0.755785222656019,-3.00825208567128,0.00262755085292698,0.0447455697158094,"SYN1",TRUE
12326.677278728,-1.79003642649746,0.517947094274648,-3.45602175643883,0.000548211070462994,0.0149095017689973,"CDKL5",TRUE
1148.68932036759,-2.42648740291678,0.471177244656476,-5.14983996030172,2.60708820298322e-07,5.59622747966287e-05,"CAMK1G",TRUE
1907.74671869535,-1.34901385716535,0.43605333750219,-3.09369001712681,0.00197683915642839,0.0369583896912048,"CYB561",TRUE
7917.0594402509,1.60050829905811,0.512263660153867,3.12438383503013,0.00178177860505917,0.0343837786971852,"CD9",TRUE
19303.6366727439,-1.46162557052836,0.437588864578726,-3.34017999277812,0.000837241077650436,0.0201901672914121,"HIVEP2",TRUE
1502.11567036041,-3.52294503372393,0.904407050109751,-3.89530912358148,9.80735700638824e-05,0.0044638878604731,"SLC6A7",TRUE
11275.7917498119,-2.51251472505468,0.750277655062214,-3.34877989248705,0.000811682504310054,0.0198212411551108,"SYT7",TRUE
2271.45012521558,-1.66853353551247,0.496221110460861,-3.36247995165469,0.000772457350137358,0.0190844075823308,"GABRA3",TRUE
2160.01383401495,2.54832524791496,0.570059505047718,4.47027937496043,7.81174893674216e-06,0.000730230530984602,"CD22",TRUE
7448.42414244848,2.10257095709041,0.461431122649719,4.5566301315278,5.1980839606511e-06,0.000544452324240004,"SEMA3B",TRUE
3685.25827765269,7.89007675882707,2.26998307754939,3.47583065127735,0.000509273764424893,0.0141449567764467,"LTF",TRUE
2459.06361572302,12.5227200824883,1.14879969839965,10.9006993124504,1.14374831516573e-27,1.98863519557865e-23,"KDM5D",TRUE
11915.7500940599,2.81414102338264,0.553789089737667,5.08161152960906,3.74246172250535e-07,7.39433886013643e-05,"CLDN11",TRUE
449.190015768458,1.92390464867175,0.614878738020027,3.1289171827065,0.00175451751516691,0.0339708196394289,"DDX11",TRUE
9784.80981160272,-1.46116684967764,0.415678939893804,-3.51513321808157,0.000439533442598795,0.0126946311735303,"MDH1",TRUE
26552.7673264799,1.56128347494595,0.504056122771915,3.09743975801763,0.00195200066037976,0.0367803526413233,"PHLDB1",TRUE
9279.89942213101,-2.19710905016583,0.720180551937355,-3.0507753149615,0.0022825131108256,0.0405634009181165,"SYT13",TRUE
20620.4524609286,-1.78224852488932,0.551414453269897,-3.23213966249987,0.00122866988537886,0.0261479599719489,"NCDN",TRUE
26708.0814355185,2.45248800838067,0.382290493892956,6.41524716821076,1.40594566694846e-10,9.05376937453068e-08,"PLEKHB1",TRUE
