GENE_ID,treat_1,treat_2,control_1,control_2
TSPAN6,680,728,2941,554
TNMD,8,6,40,0
DPM1,1102,716,687,658
SCYL3,1672,1334,1192,973
C1orf112,721,313,734,490
FGR,919,110,370,287
CFH,8064,646,733,833
FUCA2,2704,823,2500,1499
GCLC,3399,4046,4354,5095
NFYA,3400,2598,3624,2604
STPG1,1139,446,945,255
NIPAL3,14795,10664,13454,11951
LAS1L,3140,2117,3626,2622
ENPP4,3901,6494,3451,5207
SEMA3F,466,111,218,164
CFTR,160,289,206,350
ANKIB1,10681,8770,13472,11391
CYP51A1,8503,7736,8668,5200
KRIT1,3583,2670,2493,2182
RAD52,741,437,893,765
BAD,3195,1718,1414,1148
LAP3,8754,1991,4231,2083
CD99,1724,928,4685,2761
HS3ST1,2242,814,400,698
AOC1,7,0,48,13
WNT16,258,147,17,92
HECW1,11628,6469,638,2378
MAD1L1,1442,698,1304,1127
LASP1,6958,3304,2793,1951
SNX11,1600,1123,1201,1365
TMEM176A,1724,305,1034,314
M6PR,2424,3081,2614,1627
KLHL13,900,591,749,433
CYP26B1,1126,905,766,288
ICA1,3149,2318,451,925
DBNDD1,3125,1573,2028,690
ALS2,7449,5143,4077,2995
CASP10,491,324,365,752
CFLAR,8153,4366,10089,3859
TFPI,1018,206,406,361
NDUFAF7,1343,740,636,511
RBM5,9402,6109,9852,7272
MTMR7,4565,5213,2159,3723
SLC7A2,3941,1239,2000,345
ARF5,6164,3380,2320,1997
SARM1,5958,2170,3507,3431
POLDIP2,8318,3115,4642,3201
PLXND1,17736,5134,7150,7074
AK2,4704,2241,5306,2855
CD38,1964,1259,4168,1482
FKBP4,9179,5953,7034,5548
KDM1A,7417,3825,4760,3103
RBM6,4622,3315,3485,3962
CAMKK1,14899,7068,1123,1823
RECQL,1504,974,1486,945
VPS50,3812,3876,1933,1450
HSPB6,484,105,863,302
ARHGAP33,4746,2598,1412,3667
NDUFAB1,2894,1148,1178,1085
PDK4,1372,2090,3731,1889
SLC22A16,2,5,25,11
ZMYND10,182,60,307,76
ABCB5,6,2,6,0
ARX,2100,629,1106,481
SLC25A13,1207,1141,1517,2061
ST7,1977,943,1250,653
CDC27,6256,6813,3197,3562
SLC4A1,38,3,62,167
CALCR,28,25,14,8
HCCS,1552,1152,651,484
DVL2,2375,1050,2538,1997
UPF1,11393,4433,9616,6618
SKAP2,3054,2552,767,1059
SLC25A5,13112,5591,13168,6350
MCUB,826,369,693,463
POLR2J,939,286,959,564
DHX33,3183,1590,2111,1307
MEOX1,18,36,14,5
THSD7A,7926,3553,2944,1646
LIG3,3509,1521,3412,2600
RPAP3,2623,2301,1238,1060
ACSM3,60,50,31,28
REXO5,461,218,200,170
CIAPIN1,1687,976,1053,837
SPPL2B,3453,1980,3193,2781
FAM214B,2612,1086,2426,1811
COPZ2,397,106,618,155
PRKAR2B,5778,5628,865,1228
MSL3,2315,1494,1313,1161
CREBBP,15864,4809,11542,7217
TSPOAP1,19196,12191,4338,13561
MPO,259,71,75,50
PON1,93,89,144,72
GCFC2,1004,1440,931,1428
WDR54,797,523,509,394
CROT,1428,898,1095,789
ABCB4,267,138,137,107
KMT2E,10737,8758,10062,8589
RHBDD2,11126,3108,2960,2446
SOX8,6870,5109,16231,16438
IBTK,5223,6122,4501,5363
ZNF195,1974,1201,1245,770
MYCBP2,62872,50117,15425,17159
FBXL3,5015,6377,5049,3766
ITGAL,1801,237,679,642
PDK2,6336,1140,2433,1125
ITGA3,4335,1295,5124,1123
ZFX,6465,5703,4477,2766
LAMP2,11666,16803,25288,26083
ITGA2B,78,96,138,260
ASB4,43,28,169,89
GDE1,5375,3191,3272,3547
REX1BD,2785,978,1381,1129
CRLF1,863,218,1634,127
OSBPL7,1554,585,1344,1070
TMEM98,1256,1775,4602,3601
YBX2,191,107,62,67
MAP3K14,2085,409,1623,575
ABCC8,4041,1624,467,770
CACNG3,5903,2287,139,514
TMEM132A,14223,4808,12043,6723
AP2B1,57514,33091,23599,15308
TAC1,2029,785,326,403
ZNF263,1363,765,1067,781
CX3CL1,5355,2149,1341,2347
SPATA20,4756,1557,3137,1907
CACNA1G,9941,3822,340,995
TNFRSF12A,1005,139,655,349
DLX6,187,35,9,28
MAP3K9,11278,8126,734,2756
RALA,3664,4821,3462,3491
BAIAP2L1,271,118,293,207
KDM7A,5297,4504,2453,3396
ETV1,2646,3335,3022,2023
AGK,2937,1744,1314,880
ALDH3B1,816,127,359,464
TTC22,87,42,13,22
PHTF2,2233,1751,1364,1314
FARP2,3728,2656,3167,3314
USH1C,545,444,314,372
GGCT,1360,826,514,433
DBF4,176,216,191,148
TBXA2R,168,20,104,110
IFRD1,2631,1976,2333,1908
COX10,1039,868,912,706
GTF2IRD1,2042,642,1501,990
PAF1,3820,1329,2899,1610
VPS41,12445,12345,6563,5168
ARHGAP44,9592,5692,1185,2000
ELAC2,4008,1783,3649,2238
SCIN,5026,401,737,827
ARSD,1959,780,3271,956
PNPLA4,1046,883,1034,490
ADIPOR2,5945,5322,8117,8981
CDKL3,343,327,355,275
UPP2,495,299,131,120
MARK4,7671,3564,3211,3279
PROM1,945,397,1451,606
CCDC124,3204,1081,1786,1232
CEACAM21,254,41,111,105
PAFAH1B1,38298,31271,14605,15791
NOS2,549,231,206,79
DNAH9,1553,494,1399,419
KIAA0100,22522,9374,12241,8958
GAS7,77869,54926,20800,33900
TRAPPC6A,460,413,517,469
MATK,2743,1750,411,929
CD79B,52,0,39,48
SCN4A,58,14,34,8
ST7L,1013,610,1042,743
TKTL1,121,9,24,0
PAX6,1704,1062,3372,959
RPUSD1,1257,645,564,594
RHBDF1,1191,354,976,818
LUC7L,3384,2773,2828,3505
CACNA2D2,3016,1284,586,937
BAIAP3,6401,3133,7223,2164
TSR3,3218,883,2149,1445
PIGQ,4014,1173,1954,1350
CRAMP1,3817,1398,2712,2532
TEAD3,597,147,476,156
SELE,1305,87,23,737
DNAJC11,4319,1711,2187,1215
FMO3,117,56,218,63
MYLIP,1916,1424,2130,2258
NOX1,23,9,28,0
E2F2,131,8,41,17
PSMB1,5121,2129,3187,2350
SYN1,49829,16463,1731,7351
JARID2,4816,1922,4440,2831
CDKL5,26337,17092,3711,5959
CAMK1G,3504,1285,350,307
CDK11A,831,408,1147,722
NADK,3291,1832,2256,2213
DLEC1,351,96,1195,242
CYTH3,7659,4364,3218,3040
ADAM22,10449,7707,4648,3224
SYPL1,1648,1869,3241,2440
CYB561,3672,2503,1023,932
SPAG9,20072,19340,24197,17707
CELSR3,10941,4754,1954,2832
AASS,2409,2229,5006,3915
PLEKHG6,88,19,93,96
SS18L2,791,705,463,422
MPND,1211,525,560,670
MGST1,1499,790,1444,324
CRY1,1984,1428,2684,1645
PGLYRP1,147,172,44,58
NFIX,26159,15317,28839,20932
ST3GAL1,5827,2941,4012,2899
MMP25,410,124,411,274
IL32,591,124,485,301
PKD1,19691,14139,11715,11812
MAPK8IP2,28238,11952,2896,13893
MED24,5659,2320,2931,2620
RHOBTB2,17602,7838,5383,3767
HEATR5B,9420,6872,4624,4596
SEC62,14620,19070,14675,11631
RPS20,11275,5366,8598,9852
CSDE1,34255,25658,27967,17540
UBE3C,6784,4044,2996,3296
REV3L,8395,6023,8403,3984
TENM1,8157,7401,1675,2600
PAX7,441,189,0,108
MASP2,603,293,527,262
FAM76A,1018,1114,1244,685
TRAF3IP3,773,138,422,329
POMT2,2407,1259,3675,2530
VTA1,4029,3567,2234,1852
MLXIPL,1338,696,336,568
BAZ1B,11796,6569,10411,7271
RANBP9,9669,8536,4467,4326
ETV7,193,21,135,8
SPRTN,942,873,1269,654
EEF1AKNMT,2204,1708,1961,1306
DYRK4,791,256,666,235
ZNF207,7845,6768,7758,3689
UQCRC1,11383,6010,5687,4942
STARD3NL,2976,2481,2323,1621
CD9,3849,4342,12826,9186
HHATL,1175,759,652,681
NCAPD2,2436,1449,3649,2670
IFFO1,4439,2268,3332,2138
GIPR,58,124,117,351
PHF7,510,273,390,319
SEMA3G,1934,959,1236,2336
NISCH,27526,9792,8118,7092
STAB1,28017,1929,5724,9817
FUZ,1018,835,1388,1233
SLC6A13,1486,291,662,572
IDS,131647,100198,19359,49200
PRSS3,938,380,122,183
ZNF200,749,438,713,408
CD4,7385,615,2220,1643
LRRC23,653,272,632,408
BTK,1083,136,427,438
HFE,262,33,393,79
SCMH1,3086,1265,1254,976
FYN,12445,6361,13674,9646
HIVEP2,38932,25356,12892,6566
FMO1,23,14,0,0
ELOA,1635,1469,2532,1333
LYPLA2,1856,686,966,773
CLCN6,6359,4024,4380,3169
MRC2,6473,1236,4666,2904
NME1-NME2,3153,216,1457,345
SLC6A7,4044,2343,40,351
TSPAN9,3172,1312,1835,1384
BTBD7,2721,2239,3008,2786
APBA3,912,422,1094,650
MKS1,911,455,854,634
ABHD5,1994,573,1393,767
ANOS1,7445,2965,8390,2247
AKAP8L,4549,1556,3465,2402
MBTD1,1783,1571,1944,1632
UTP18,2026,1382,1361,1278
RNF216,7479,2904,4800,3842
TTC19,4078,2772,2383,2623
PTBP1,4653,710,2337,1493
DPF1,4763,2157,621,1249
SYT7,33623,13312,1048,4535
LARS2,3173,1921,2642,2255
PIK3C2A,10132,9456,10299,7502
PLAUR,1585,206,423,230
ANLN,3268,7584,9768,10878
WIZ,7530,2373,3500,3943
RABGAP1,13727,7544,9268,6571
DCN,8223,1147,3030,1783
QPCTL,705,319,264,275
PPP5C,4838,2183,2003,1590
CEP68,6530,5068,5101,3502
MAP4K3,4997,3918,3126,2586
ZBTB32,202,124,149,169
TYROBP,2636,446,1109,1189
TMEM159,603,185,238,212
GABRA3,5178,2865,797,1121
BRCA1,533,473,980,569
ERCC1,5291,1615,4032,2552
CD22,721,643,2461,3986
SEMA3B,3375,2782,10786,11002
MBTPS2,3035,2332,1751,1223
PRICKLE3,246,42,248,228
LTF,42,28,15347,55
EXTL3,15419,7318,7380,5140
ELOVL5,6569,4534,9839,6974
ALOX5,3358,290,622,738
KDM5D,2,0,4202,4619
CALCOCO1,8320,4268,7301,5098
UBR7,4916,3204,3116,1771
MAP4K5,4525,4942,6277,6066
EHD3,19867,8710,3783,5560
PSMC4,6762,2655,3090,2450
MAN2B2,8728,2724,5585,2739
SLC7A14,21237,13523,4714,6736
CLDN11,3091,3183,15083,21667
SLC25A39,2774,744,1662,1659
MVP,5951,737,4617,1985
NUB1,2764,1812,2284,1625
PGM3,2215,2689,2157,1207
RWDD2A,1697,1297,1103,675
CLK1,3645,2739,5595,3565
POLR3B,2298,1227,1333,758
ANGEL1,4635,2733,4731,3965
RNF14,4293,3981,2660,2447
DNASE1L1,994,555,465,269
DDX11,352,117,990,380
HEBP1,1545,1063,2029,1165
GPRC5A,953,35,174,39
MAMLD1,2659,729,1218,865
CD6,168,125,107,128
TACC3,716,118,268,263
UFL1,3741,4327,4293,3496
POLA2,1058,392,683,799
ZC3H3,2445,673,1406,1318
CAPN1,8342,3157,5849,2847
ACP3,575,54,119,59
MDH1,19941,12740,4776,4656
SLC30A9,8009,10787,4674,4220
MTMR11,840,266,1207,443
COX15,3724,2485,3148,2169
CCDC88C,1538,338,1837,491
YAF2,2297,2513,1074,980
ZMYND11,10869,8408,9966,6342
WAS,1308,139,407,314
DPEP1,2,10,10,0
BID,2826,1789,1351,978
MATR3,14280,11888,9839,8301
XYLT2,3075,870,2086,1562
RGPD5,7123,7730,3359,3420
STMN4,9400,4838,3366,5720
NUDCD3,18434,10196,8350,5837
CHDH,3545,1629,6347,2498
IL20RA,127,180,157,58
CLCA4,200,482,1608,641
GLT8D1,2142,1203,1723,989
ATP2C1,13715,11083,8242,6454
IGF1,1726,263,261,138
SLC38A5,2392,643,3225,2060
RALBP1,7858,4804,7616,3718
RUFY3,24007,23344,13110,12494
CNTN1,44147,46927,12639,14407
SLC11A1,3955,125,331,424
WWTR1,4201,1134,12020,2890
AGPS,6036,6350,4487,4959
STEEP1,1115,813,1009,531
ATP1A2,154396,60920,159739,46840
TTC27,1163,875,1051,878
ZNF582,475,311,538,327
VSIG2,288,146,72,153
PHLDB1,14164,14332,34439,36846
MARCO,608,0,113,0
CYP24A1,153,37,27,4
PRDM11,4209,2044,2335,1950
SYT13,22346,12892,1139,4403
SNAI2,270,87,123,120
CD74,27211,1729,23321,8363
HGF,2174,447,1684,241
ZRANB1,5106,3225,2775,2052
NCDN,62673,18600,6445,9851
ADGRA2,5552,1586,2753,3048
ZFP64,2024,811,1243,535
MNAT1,1496,1261,981,913
SAMD4A,6114,1663,10586,5464
RUNX3,239,20,94,157
MRE11,1892,1478,1659,1456
PLEKHB1,12326,6862,48245,35150
SERPINB1,3472,579,1375,987
CYP3A43,38,21,20,8
SLC7A9,53,0,41,34
SPAST,2245,2733,1990,1743
NRXN3,30729,15835,4752,6248
OSBPL5,3153,1063,1659,2158
AQR,6357,4441,5026,3052
CPS1,607,484,1774,652
FHL1,8905,4019,6201,2954
RTF2,4402,2302,4457,2268
GABRA1,14797,12069,553,1016
NLRP2,618,238,77,41
SLC45A4,5127,2822,1195,1368
RNF10,8687,4394,4912,4683
ZNF839,915,586,781,592
ZDHHC6,2051,1359,1721,1235
GRAMD1B,23344,7538,9567,3379
RNH1,3890,2047,3889,4274
NDUFS1,26849,19655,16981,11769
RB1CC1,16504,18105,6655,8878
ERP44,3779,2998,3196,2392
ALAS1,6665,2186,2419,2317
BIRC3,409,409,277,364
AKAP11,46586,48593,20626,17833
GLRX2,2012,3255,1417,1697
SNAPC1,461,270,332,275
DERA,689,271,904,578
STRAP,10506,7029,4887,4428
ABCC2,56,31,111,45
DEF6,1516,224,585,528
PLEKHO1,4907,1584,2228,1844
GCLM,1550,1435,707,865
UBR2,8126,6848,6909,5536
EHD2,4155,1072,3724,1602
DEPDC1,150,168,21,9
CCDC28A,1280,803,830,276
RRAGD,7882,4816,2843,3703
HSF2,948,586,746,337
PHF20,6803,4518,4006,3286
HSD17B6,352,422,1352,365
NR1H3,641,178,524,403
TYMP,9312,337,777,972
NCAPH2,3533,1896,2237,2257
TOMM34,3291,1143,879,892
SEC63,9215,7892,7216,5051
KPNA6,16362,9858,6498,7759
VIM,44966,3215,52431,8956
RTEL1-TNFRSF6B,1801,690,1216,1589
FAS,614,488,1347,142
RNASET2,3942,1146,1717,1644
CD44,3128,365,10703,1388
KCNG1,2016,1159,692,441
AGPAT4,8700,5962,7060,9951
SLAMF7,179,3,34,5
BTN3A1,750,432,1287,684
MIPEP,1056,726,715,830
PRKCH,1654,709,1183,1357
INSRR,372,33,93,24
IFNGR1,3315,2823,3644,2976
B4GALT7,1062,433,783,770
SH2D2A,159,21,73,20
VRK2,760,1033,1622,2035
TNFRSF1B,4805,642,1567,1527
VEZT,5625,4327,2662,2334
POU2F2,2238,212,294,371
BRD9,3622,2156,2707,2827
SNX1,10879,7997,10962,9931
TBPL1,1843,1997,958,709
ARNTL2,1201,2679,171,821
BCLAF1,10298,10803,7441,5708
SLC39A9,5977,2804,6507,3687
ANK1,3932,1149,629,1312
IBSP,473,2,24,0
TFB1M,429,375,423,446
RABEP1,16296,12113,10846,7625
HMGB3,1812,1364,1551,2052
NUP160,2758,1247,3188,1770
BAK1,1239,429,815,558
MUSK,68,69,322,103
IKZF2,1691,1582,2383,1659
GRN,9011,1020,4262,2938
FAM13B,9576,6761,3162,4395
ARHGAP31,8916,2787,12537,4757
CENPQ,213,412,425,213
SARS1,12185,7628,5820,4620
RANBP3,3882,1701,2899,2185
ARID4A,4803,3617,3325,2559
EIPR1,2682,1351,1096,912
PNPLA6,13316,5466,7832,7232
IFT88,1175,1195,1647,1121
ALG1,1290,639,1066,668
ZCCHC8,1360,800,1184,713
ABCF2,4647,1863,2898,1602
CHPF2,3710,1845,2293,2142
LRRC7,27399,24137,4165,9625
FUT8,7164,6658,10249,6728
UBA6,6372,6234,4461,4364
GAB2,10286,7359,21566,18029
ATP6V0A1,24000,21895,12683,11912
PIAS1,7321,5495,4285,2781
SLC4A7,9597,7496,2701,4710
APBA2,20893,9057,8294,6337
MAP2K3,1819,354,793,592
EFCAB1,218,190,300,75
TMSB10,19477,4734,2805,3656
ASTE1,362,385,404,322
RNF19A,7965,6646,20064,3900
PEX3,1469,1002,1050,688
GABARAPL2,7923,6576,8672,5828
SH3YL1,2158,2255,1499,1697
FAM136A,1578,996,972,740
VCL,5318,2427,7399,3509
DEPDC1B,127,84,34,22
DAPK2,459,602,1312,2039
NSMAF,2705,1273,1828,1442
ADSS2,4995,6672,3259,3759
STAP1,16,8,3,23
TIMP2,13283,8983,14252,12737
RFC1,4133,2851,5082,3095
TBC1D23,2300,3569,2164,1997
CUL3,6245,6048,4168,3180
MYOM2,2110,1061,249,549
OTC,4,2,17,10
CYP46A1,9469,5296,1960,1999
ZZZ3,3401,3060,2983,2609
SLC18A1,4,4,3,0
USP2,3592,1470,2031,1232
CASR,68,108,22,17
TUBG2,6825,3313,2806,3236
RPL26L1,677,240,317,124
FLT4,654,193,544,692
NSUN2,2985,1567,2242,1659
FBXO42,6054,2157,3030,2221
MFAP3,1602,1081,868,691
MRI1,1571,534,1258,1034
METTL1,327,235,244,132
AGA,752,526,1106,817
PI4K2B,668,703,825,525
BOD1L1,12977,8156,10343,6966
MAT2B,3247,3114,2655,1694
TLL1,565,846,127,517
EDC4,6860,2997,3568,3230
TRIO,35170,15602,12409,13535
VCAN,13178,9632,23257,10960
CLEC16A,8259,3033,5831,3447
MSR1,4510,315,515,363
CDH1,280,258,669,810
MTREX,5621,6149,4499,3952
DNAH5,782,502,588,112
ZFYVE16,5938,9296,10031,12408
RIPOR1,9291,3858,3065,4352
C6,80,5,8,0
RAI14,1913,1008,2874,1598
SOX30,23,8,27,0
PNKP,1503,763,1339,1080
BEST2,25,0,19,31
PHLPP2,6976,4958,2125,2245
SPDL1,709,646,810,803
STAU2,6806,8528,2265,3250
SLC66A1,1257,575,974,710
CTNS,1685,356,1547,1112
RTN4R,2821,1203,212,187
PHF23,2447,1151,1379,1110
CDH10,5709,5271,2463,1624
INPP4A,15251,8191,3694,3193
RAB27B,4836,8552,193,607
PSMA4,3215,2374,2157,1879
MYO16,6304,4284,822,1545
LSG1,3158,1809,2467,1403
PARP3,960,334,918,445
TNC,21658,3424,38458,5573
THAP3,852,342,1063,1014
RIPOR3,573,232,880,570
TDP1,1272,396,633,472
AIFM2,966,497,792,630
SPATA7,1083,876,850,740
MED17,1837,1319,1992,970
RETSAT,4225,2025,5090,2225
CAPG,1765,262,1075,557
AP2S1,4611,1394,1339,1141
USH2A,276,171,136,143
ZPBP,26,25,9,2
TG,229,83,53,54
ADAM28,3143,1607,1937,2672
BARX2,86,63,40,7
DCUN1D1,3701,5458,3315,3297
JADE2,7531,4465,4785,4444
ZIC2,1692,413,1732,809
LCP2,3250,497,879,703
TRIT1,1029,610,478,608
ADRB1,2414,819,1433,831
CUL7,4437,2103,2426,1671
CTNNA1,9958,5018,17826,10164
PHKA2,2504,1164,3412,1774
CNTLN,780,528,1098,675
EPHA3,3005,2022,1134,898
HSPA5,31102,11606,17487,8380
DSG2,242,62,28,0
GEMIN8,984,554,999,392
OFD1,1544,1169,1918,1528
GPM6B,48287,57503,58869,52919
PREX2,15958,15833,16463,12208
WDR37,5875,3512,3208,3310
YTHDC2,6439,5733,2842,3043
CTPS2,1049,706,1831,957
ATP6V1H,4425,3103,1058,1936
POLR2B,9795,8160,5431,4835
FAM214A,2970,2880,2608,2675
ARAP2,11643,14329,23072,15059
TPR,14912,9269,14561,7895
CP,2182,191,8591,290
KATNIP,4095,1778,4210,2215
DTNBP1,1177,599,806,685
XK,1947,1577,556,645
ANO2,489,184,317,317
C12orf4,3036,2981,1105,931
SCML1,1013,703,741,571
WWC3,3345,1955,5698,4145
ARHGAP6,979,675,1131,725
FAM184B,830,332,625,489
MAP4,31562,19872,48726,35364
GOPC,2596,5695,3801,2860
ROS1,183,298,17,0
USP28,1617,967,1274,872
HDAC9,5505,3920,2394,2265
TSPAN17,2568,2715,1231,1926
NOP16,919,381,582,485
CC2D2A,2069,1438,3055,1267
RRM2B,3618,3000,3975,2305
ZNF800,2900,1593,2450,1974
TNFRSF17,23,22,55,45
SNX29,5280,2765,5069,4252
LMO3,12167,19785,3084,3999
MRPS10,2556,2046,1379,1121
GUCA1A,164,99,52,148
RSF1,8324,6788,6133,4693
VPS13D,31030,18979,24139,13807
CELF2,30631,19908,8101,6637
FAM120A,14946,6663,10352,6693
R3HDM1,17181,7488,2265,3792
COL9A2,2848,2571,20185,6668
KITLG,2261,2587,2102,755
ERCC8,952,762,781,495
ADAMTS6,606,273,814,464
H6PD,7068,2785,6881,5205
VAMP3,4837,3272,7295,5346
PER3,3574,1959,8166,3075
UTS2,29,3,41,13
TNFRSF9,56,0,33,6
EPN3,380,71,120,87
LTBP1,4284,1714,8114,3299
RCN1,5739,2334,3944,2011
ELN,2246,636,2337,1467
RFC2,875,642,529,346
ARID1B,15223,9111,9004,9916
CLPTM1L,4068,1904,2334,1873
NEDD4L,16071,9631,4016,4713
FOXP3,66,40,66,50
PPP1R3F,5080,2935,2089,2894
HEXB,3182,1606,1051,1141
PTCD2,1934,1939,1864,1244
NEXMIF,3823,3542,2065,1074
JKAMP,2275,2224,1366,1149
DKK3,51513,26336,23971,11188
ARHGEF5,377,123,582,168
NFE2L3,1529,1119,1777,1320
MCUR1,4228,2352,2677,1677
LIMA1,2088,1659,4206,1733
LETMD1,2284,1057,1539,1189
SLC4A8,10607,7176,8486,3656
LAMC3,2677,400,1444,1228
PTGER3,1826,1110,65,228
TNIP3,69,67,10,31
MAPK9,9549,12201,2963,4098
COL23A1,1225,279,388,190
BCAR1,6289,3910,6230,6898
FAM160A2,4116,2250,2050,1735
HERPUD1,2203,1878,2079,1733
HOMER3,1247,586,1273,1499
RAD51,134,14,50,26
POLQ,470,164,55,24
PIK3CB,5495,4641,2835,2007
CYBA,4386,357,1705,1219
THOC3,2081,1624,586,977
HEBP2,1679,453,2049,942
MPHOSPH9,2761,2127,1707,1578
PLEKHA5,5805,4208,4352,2121
PRSS8,72,18,52,42
SIKE1,2455,2951,2248,1784
RRP12,4223,1768,1695,1330
FNIP2,9952,5860,4609,4664
MSMO1,5135,4076,5414,2265
TTC17,5662,2654,4391,3375
ALX4,494,41,109,169
FSTL4,4453,1088,196,321
FOXN3,6943,4942,6964,6999
METTL24,225,75,130,69
AKR7A2,3063,813,2380,1626
MRTO4,3424,1693,1703,1079
NNAT,5216,1988,3235,2230
USE1,1179,732,908,689
MCF2L2,7799,4689,1496,5194
NRIP2,1210,807,1412,1850
LAMA3,1255,509,441,676
AP5M1,3135,6196,2552,3206
ANAPC4,2034,2065,1442,1452
KCNQ1,1181,112,426,510
TRAPPC3,2266,1499,1843,1337
THRAP3,14744,9855,11123,6604
PHPT1,3966,1434,3303,1294
ENTPD2,1260,309,3342,486
LY75,1357,354,817,657
ARID4B,4474,4204,4292,4596
OPN3,910,669,259,190
SDCCAG8,3074,2258,2688,2233
PTPRN,32952,11808,2073,5553
HHAT,838,396,556,360
KIF1B,84908,58938,60795,63739
FOXC1,1832,233,825,119
TBC1D22A,2920,1601,1976,1950
SYNE2,8083,3010,13839,5971
PLEKHH1,9808,9127,26191,34983
ATP9A,85269,59207,18928,16005
CBLN4,4124,2066,394,430
CHRDL2,54,17,30,22
FAM168A,36781,20263,43675,18250
RELT,2039,841,1479,2269
GALC,3727,3375,4066,2584
NOP58,1685,1349,967,881
SZRD1,6686,914,7337,1710
KCNH2,4179,1213,777,787
CUL1,4809,3033,2637,1809
FAM114A2,1201,779,1399,839
CYFIP2,54243,26778,17005,12032
TAB2,6138,2525,6281,1833
GINM1,1756,1970,2834,2279
EIF2AK2,8998,8521,8545,6052
USP36,3974,1850,2535,2401
KMT2C,29012,13776,32803,15818
MCOLN3,87,9,9,0
CCDC85A,5870,3237,1660,679
PUM2,17290,16036,11283,8696
MRPL43,1607,440,1723,570
ITIH4,646,381,755,410
HPF1,1469,1363,1321,757
ZFR,17263,9582,13138,8840
ZNF280C,728,545,466,418
NPFFR2,50,102,0,5
PHF21B,735,282,781,405
TRAF1,1501,915,3066,2187
RC3H2,11687,9080,7304,5944
IL17RB,1039,611,2075,786
TRAF3IP2,1303,487,2747,649
GYG2,558,399,2259,236
DCBLD2,3176,1906,2246,1305
SOAT1,3839,1376,2375,1594
PKP2,1016,159,411,347
MSH4,93,82,71,35
F7,182,75,42,31
GDI2,14378,7862,8051,5124
PRDM1,953,262,542,383
ATG5,2342,1931,1443,1124
TMCC3,2453,3060,4978,5826
PITHD1,10032,8288,3859,5239
MTA3,6240,3543,3538,1608
USP13,3020,1964,2085,2025
ATP11B,4320,4379,1923,3033
LAMC2,165,13,37,14
CDK14,11014,10096,4396,3199
SEC61A1,7043,2835,5591,6100
PPP1R12A,8664,9172,5692,6072
RASGRF1,15075,8212,2928,2728
CAMK2B,18315,6832,5830,5370
CROCC,2631,1002,1748,2650
POLR3E,2919,1293,2225,1880
ATP2B4,35019,14663,16407,6454
ZC3H11A,3307,6372,7963,1747
RIOK2,1188,1613,1174,763
YIPF1,1553,887,862,566
NDC1,1740,1501,1229,780
DGKG,7392,3214,9105,3269
FLYWCH1,4349,3112,5218,3760
UNKL,2803,1016,1942,1421
TBXAS1,2566,640,1420,1777
PARP12,1320,409,923,927
ALDH18A1,4072,2048,2257,1701
TARBP1,6054,4802,2297,2336
GATB,2188,1559,1265,869
MXD1,666,1753,1816,1288
CDK17,9242,10835,4272,5372
DNAJC25,631,499,283,262
SLC2A3,9427,4373,729,2706
PSD,25717,11813,2196,10175
CTDP1,2636,1323,1995,2008
YBX3,3233,658,2377,2214
STYK1,1741,683,48,152
WNK1,23795,13194,30037,24739
CCAR1,3437,2016,2946,1990
OGFR,5355,2528,2649,1612
GNA15,1192,220,353,396
CREB3L3,34,18,13,0
PIGV,793,432,864,524
PTPRU,3652,2359,1560,1131
SNRNP40,1566,802,1513,1047
RIMBP2,21598,7524,761,2585
COL11A1,3839,2174,2502,2185
QSER1,5736,3579,5754,2774
MPC1,2569,2924,4210,2314
ACAA1,4117,1659,4070,2529
BCAT1,6555,6176,1827,2912
HDAC7,4540,1278,4211,3454
LZTS1,6947,2708,1308,1420
PRDM6,215,80,84,93
WNT8A,50,13,12,0
SPAG4,186,100,114,89
NCKAP1,32145,27832,11502,8230
MRPS35,2586,2875,1782,2019
GUCY1B1,9358,8010,1172,1512
SFSWAP,3215,2388,3354,2945
TNK2,15755,7681,8840,11623
MON2,9777,8060,8584,7832
CDH3,589,206,131,302
ARSF,310,145,281,130
GPBP1,8361,7911,7167,5227
DGAT2,700,574,149,187
ZNF112,1373,1056,1660,829
CS,12250,4461,2632,3400
LTK,279,119,31,7
MRPS24,1399,1236,639,1124
ELMO2,7686,3129,5503,3042
WAPL,5508,4797,5060,3434
VMP1,11556,4473,3634,3386
APPBP2,6878,7453,6192,5737
POLD1,1293,380,844,923
SEZ6,7535,2020,4341,1533
EIF4B,28617,18232,29799,23933
SLC6A16,118,62,144,93
BICRA,1956,352,1251,1706
SPHK2,3486,1827,2630,2982
RPL18,12052,5337,10749,7931
CA11,30137,13265,2729,10841
ISOC2,2314,863,1468,980
U2AF2,7650,2298,5408,3379
EPN1,19450,5380,6114,7346
MED29,2849,4104,4164,3980
AHRR,423,86,86,148
ZNF275,4621,2130,6965,2870
MTMR1,3894,2656,3756,1892
GPC1,11706,6157,5292,5508
ADCK1,1680,543,1281,1017
HAGH,4312,2278,2443,1736
RNF4,1735,894,1116,908
CASP8,806,222,463,318
LIMCH1,15801,15394,20643,14159
INTS13,916,583,1133,883
TM7SF3,4193,2961,3704,2539
DLX3,148,0,4,0
SPA17,265,167,343,93
TSPAN32,197,174,186,70
CCN5,184,48,132,73
DMRT3,7,0,14,0
