GENE_ID,treat_1,treat_2,control_1,control_2
LRRTM2,6954,8837,3511,2901
ZMAT2,6968,9289,3507,4302
GFRA3,58,18,0,0
KLHL3,2495,3243,1437,2932
DCDC2,287,237,81,66
KAAG1,33,0,11,0
TRIM7,246,144,240,181
TRIM41,3562,3135,4962,6768
HIGD2A,2194,358,1218,705
FAM193B,2238,1055,1616,2224
PLA2G7,664,205,213,219
TNFRSF21,10022,3966,3444,4829
RNF44,6293,2411,2728,2670
MMUT,3345,4537,3120,2198
RASGEF1C,1921,853,918,1355
DOK3,1679,196,349,304
ABT1,1298,677,993,490
PPP1R18,3186,1048,1782,1508
DAAM2,10675,11001,46284,27375
PRIM2,417,259,393,244
MLIP,2146,1619,307,911
HMGCLL1,1833,2716,434,1016
FGD2,2323,354,1176,1315
SCUBE3,1551,554,1259,1010
ANO7,402,64,370,215
CRIP3,257,95,153,154
TTBK1,14071,7150,4041,6331
TCTE1,365,103,72,55
RPL7L1,6944,5743,4860,3148
NFKBIE,1142,569,473,488
CYP39A1,102,45,92,33
TPBG,1584,499,86,73
IRAK1BP1,1090,905,610,543
PHIP,9473,8459,10157,7046
PRSS35,524,863,129,262
MMS22L,722,682,1169,831
FAXC,8294,8374,760,1566
PNRC1,6458,3373,6676,4324
PM20D2,854,866,533,636
RARS2,1432,819,1047,757
SCML4,82,4,32,24
TBC1D32,1682,1720,1185,909
CLVS2,8962,11342,713,1597
GPR6,256,69,0,5
RNF217,2274,832,2121,1124
RSPO3,557,493,26,104
ARHGAP18,1535,491,393,439
ABRACL,567,404,103,154
SLC18B1,2069,2372,3688,1346
MTFR2,37,15,15,10
SLC2A12,1025,564,1531,592
SHPRH,7579,5409,5505,4123
AIG1,3180,2737,2682,2210
DYNLT1,1442,615,1230,604
TIAM2,3876,1645,1643,801
TMEM181,9031,6721,4004,3808
PNLDC1,151,38,51,63
WTAP,5559,3206,4686,2918
ZMYM4,10979,7664,7692,4641
VIP,646,934,52,135
ARMT1,574,991,310,452
SLC22A3,456,82,51,134
VWDE,193,112,31,67
GNA12,11149,4059,15028,2376
C7orf50,5392,2556,2767,2908
SDK1,3290,608,1095,895
CCZ1B,1784,1758,1873,1560
C7orf26,2314,538,1689,997
RBAK,1736,1432,270,1239
CREB5,3247,736,9078,7527
FERD3L,24,13,0,0
EGFR,5954,2933,17427,2551
CDCA5,477,265,66,114
IGFBP3,2551,541,435,997
PURB,13500,10708,6986,6319
IGFBP1,117,4,11,54
SSC4D,268,120,170,58
MDH2,12445,3479,4303,3187
POMZP3,1064,343,601,388
NIPSNAP2,4420,2831,5066,2124
CCT6A,6676,3401,3396,2273
PSPH,1170,657,903,548
TRIM50,9,0,7,31
ZNF92,1326,529,1949,913
ATXN7L1,2108,915,751,601
TMEM168,1404,1727,2061,1741
TRAPPC14,2103,899,918,1079
SLC12A9,4682,1970,4180,3862
GIGYF1,6100,3254,6780,6425
TRIM4,1809,1241,2007,480
MEPCE,3150,1454,2771,2454
TMEM209,1505,1303,1813,1168
AGBL3,375,456,297,316
ZC3HAV1L,420,135,182,167
TMEM140,1507,606,1621,1376
TLK2,2572,1422,2519,1678
EPHA1,196,79,135,125
NOM1,2509,1132,1697,1142
CNPY1,3,9,25,29
NCAPG2,877,711,937,676
NLGN4X,7041,4901,4336,2117
SHROOM2,1958,746,1149,755
LUC7L2,6882,5338,5998,5429
DENND2A,4646,1741,5932,4001
CLTRN,34,64,44,0
SH3KBP1,4823,2736,2269,2106
TMEM47,5192,4668,4968,2798
LANCL3,656,165,1073,443
SYTL5,1774,706,167,607
CASK,10333,6064,9925,4303
KDM6A,3424,2836,2900,2073
SPIN2A,554,282,319,333
MSN,21662,3470,25269,7725
CCNB3,92,89,150,51
HDAC8,1284,927,827,822
SLC16A2,4668,2715,4860,2215
DIPK2B,1392,418,1256,1247
ZNF157,151,195,161,142
ZNF182,1103,815,882,564
CHST7,1256,391,2996,397
KRBOX4,1308,642,948,574
NDUFB11,5336,1785,2778,1440
ZNF41,1917,1719,1131,923
RAB41,81,64,146,124
ZMYM3,8694,3603,4784,3244
TAF1,4825,2890,4585,3342
GPR174,92,12,95,12
NONO,4596,2254,4192,2278
CCDC120,902,329,489,423
LPAR4,132,149,198,25
EBP,906,565,579,364
OGT,19863,11873,12849,9388
SNX12,4017,819,3241,1867
ITGB1BP2,82,41,74,26
IL2RG,170,9,85,72
GCNA,233,177,163,184
ZNF711,3140,3832,2646,1638
DIAPH2,3648,1917,1449,1275
PRPS1,3889,3175,2486,1800
RADX,716,471,842,570
FRMPD3,3089,643,2556,761
HTR2C,753,628,63,145
DOCK11,3344,1128,1741,1361
IGSF1,1580,817,3448,627
ARHGAP36,798,77,242,333
GPC3,198,34,209,92
RBMX,4601,2855,4995,2852
MCPH1,2125,1063,1567,1133
MFHAS1,5107,1883,4419,2070
FBXO25,4874,5151,3643,1846
NSDHL,1501,604,1180,545
ZNF185,617,259,814,382
CETN2,2099,1527,1753,808
RPL10,18386,4693,18556,8634
CSGALNACT1,5608,4357,3660,2392
ATP6V1B2,33809,21747,6186,9078
CCDC25,3197,2650,1791,1555
HMBOX1,5262,2153,6967,2605
CHRNB3,96,42,18,14
CHRNA6,82,38,21,0
GNRH1,105,89,217,21
BIN3,1719,475,788,548
DOK2,267,29,51,85
SLC25A37,3304,2208,2395,1854
CHMP7,2182,950,1404,831
DOCK5,4343,6088,7488,11872
STAR,353,235,44,51
PLPBP,5051,2015,2905,1549
ERLIN2,4185,2696,6238,2529
SNTG1,2592,2641,951,1195
PXDNL,250,87,90,94
ST18,2861,6658,11339,15419
RGS20,1075,475,993,217
TACC1,25432,16558,15008,14566
GOLGA7,4516,2444,6138,5851
PLPP5,860,375,561,769
GINS4,236,25,119,90
NSD3,18058,12460,11159,8088
DNAJC5B,16,7,3,0
CRH,311,234,231,100
ADHFE1,878,528,1668,737
MRPS28,975,542,897,452
PMP2,22636,25361,57688,20304
LACTB2,433,271,536,405
TERF1,2611,3214,2216,1850
RPL7,21311,7967,15338,11083
SLC26A7,29,26,82,4
SYBU,10089,5691,2134,1819
DPYS,136,136,84,107
MTDH,8663,6747,6855,5217
LRP12,2160,1973,1411,921
EBAG9,849,1266,855,592
RSPO2,2093,1094,204,266
POLR2K,2313,2205,1339,1156
MAL2,5915,5790,168,727
EIF3H,3998,4872,5119,3199
UTP23,1302,1381,935,859
NDUFB9,2818,521,1234,1121
TATDN1,875,835,689,569
GSDMC,33,20,43,0
FAM135B,8874,4150,1453,1533
ZNF7,1156,1220,1774,1002
ARHGAP39,4817,1445,2610,1829
SLC39A4,636,368,169,149
NAPRT,1064,396,981,715
VLDLR,3129,2303,2363,2712
AK3,2810,2042,3883,2229
UHRF2,2983,2460,2401,2712
NFIB,11707,9212,12260,6783
CER1,17,21,0,0
PLIN2,1835,314,1685,786
IFNA5,14,17,3,0
HAUS6,2364,2061,2863,1803
CDKN2B,257,188,2493,229
CDKN2A,90,41,847,106
C9orf72,2441,2287,1659,1151
IFNK,120,103,114,188
ZCCHC7,1911,1667,1477,1502
FBXO10,5698,2387,1334,1674
