"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","significant"
1209.78774583702,1.3864231447945,0.735196444652088,1.88578597581574,0.0593238015284395,0.322225645876023,"TSPAN6",FALSE
12.672108268732,1.60213698754403,2.47509414901134,0.647303452349072,0.517435567599185,0.847860919220341,"TNMD",FALSE
771.633628598937,-0.108488135251633,0.471109458866106,-0.230282226794488,0.817872470482169,0.958259120847711,"DPM1",FALSE
1274.41144178195,-0.209264646837455,0.465782998675357,-0.449274978761749,0.653233305229687,0.906211624677205,"SCYL3",FALSE
543.620359177877,0.620373987387361,0.485165655571834,1.27868487858269,0.201008046731438,0.601979199981433,"C1orf112",FALSE
362.978450578343,-0.0469132588415498,0.782404567237224,-0.0599603591364591,0.952187206681629,0.986443374451407,"FGR",FALSE
1956.55913736967,-1.79625768318201,0.804493073797209,-2.23278203590203,0.0255633214867911,0.200844767596402,"CFH",FALSE
1763.9238589767,0.618579252284524,0.497582523016226,1.24316917028123,0.213805500852014,0.617741494476059,"FUCA2",FALSE
4444.26856771778,0.556405666576272,0.557669457770317,0.997733798800642,0.318408459235356,0.726878734234349,"GCLC",FALSE
3039.40647258739,0.315076934587062,0.435441511841027,0.723580379957186,0.469323390249033,0.821631709886677,"NFYA",FALSE
628.918673620614,-0.0824983002587293,0.647338896530819,-0.127442211028643,0.898590409018577,0.974963584499594,"STPG1",FALSE
12673.6357187866,0.292130684924844,0.419609866874489,0.696195938148004,0.486306131080432,0.831152521129851,"NIPAL3",FALSE
2855.289855252,0.53867229042432,0.41589135437476,1.29522358365479,0.195243111459868,0.595455530424963,"LAS1L",FALSE
5098.63109784338,-0.094548495395621,0.659207515464499,-0.143427514367762,0.885952554290758,0.973308003372934,"ENPP4",FALSE
214.076725617842,-0.0938697566805324,0.68806696907575,-0.136425320353081,0.891485058058082,0.973308003372934,"SEMA3F",FALSE
274.501930337374,0.475395740801688,0.809983981628751,0.586919928769137,0.557257484705455,0.869739930297019,"CFTR",FALSE
11245.7252005472,0.615107093229358,0.440694449151528,1.39576773524973,0.16278444934313,0.54851419006376,"ANKIB1",FALSE
